stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
"1403","1403","Saint-Exupéry","Rennes","48.1252108465","-1.6609604019","","","","","","1"
"1404","1404","Trégain","Rennes","48.1267120916","-1.6584872121","","","","","","1"
"1405","1405","Europe","Rennes","48.1284156243","-1.6570605141","","","","","","1"
"1406","1406","Gast","Rennes","48.1308761038","-1.6564447114","","","","","","1"
"1407","1407","Longs Prés","Rennes","48.1331287106","-1.6566264690","","","","","","1"
"1408","1408","Vitré Péguy","Rennes","48.1197514839","-1.6513295777","","","","","","2"
"1409","1409","Joliot-Curie","Rennes","48.1268305822","-1.6533128438","","","","","","1"
"1410","1410","Hélias","Rennes","48.1365117276","-1.6624828275","","","","","","1"
"1411","1411","Bellangerais","Rennes","48.1321107354","-1.6729097548","","","","","","1"
"1412","1412","Cours Kennedy","Rennes","48.1214002438","-1.7077736166","","","","","","1"
"1413","1413","Villejean-Churchill","Rennes","48.1186073671","-1.7079543368","","","","","","1"
"1414","1414","Merlin","Rennes","48.1164155687","-1.7122653547","","","","","","1"
"1416","1416","Atalante Champeaux","Rennes","48.1134843850","-1.7142994572","","","","","","1"
"1417","1417","Les Arts","Rennes","48.1111705917","-1.7128643130","","","","","","1"
"1418","1418","Géniaux","Rennes","48.1098129576","-1.7103109352","","","","","","2"
"1419","1419","Les Arts","Rennes","48.1114330381","-1.7133817636","","","","","","1"
"1420","1420","Atalante Champeaux","Rennes","48.1136321279","-1.7125846251","","","","","","1"
"1421","1421","Chambre Agriculture","Rennes","48.1146356775","-1.7155030115","","","","","","1"
"1422","1422","Merlin","Rennes","48.1162613870","-1.7113090703","","","","","","1"
"1423","1423","Villejean-Churchill","Rennes","48.1185075829","-1.7081603829","","","","","","1"
"1424","1424","Cours Kennedy","Rennes","48.1212376093","-1.7079495234","","","","","","1"
"1425","1425","Trois Croix","Rennes","48.1280001831","-1.6824479947","","","","","","1"
"1426","1426","Bellangerais","Rennes","48.1321237560","-1.6726347888","","","","","","1"
"1427","1427","Hélias","Rennes","48.1364043767","-1.6633480586","","","","","","1"
"1428","1428","Hôtel de Région","Rennes","48.1345216032","-1.6586245012","","","","","","1"
"1429","1429","Joliot-Curie","Rennes","48.1276284517","-1.6508981356","","","","","","1"
"1430","1430","Painlevé","Rennes","48.1236445181","-1.6593058210","","","","","","1"
"1431","1431","Vitré Péguy","Rennes","48.1195157548","-1.6511401827","","","","","","2"
"1432","1432","Vitré Foulon","Rennes","48.1187691326","-1.6499071748","","","","","","1"
"1433","1433","Durafour Strasbourg","Rennes","48.1135953335","-1.6565502057","","","","","","1"
"1434","1434","Pont de Strasbourg","Rennes","48.1093144159","-1.6552073889","","","","","","1"
"1435","1435","Chardonnet","Rennes","48.1056883659","-1.6507126409","","","","","","1"
"1436","1436","Cimetière de l'Est","Rennes","48.1036122670","-1.6498019700","","","","","","1"
"1437","1437","Villebois-Mareuil","Rennes","48.1008042169","-1.6498244352","","","","","","1"
"1438","1438","Le Dantec","Rennes","48.0992513440","-1.6528812766","","","","","","1"
"1439","1439","Bourgeois","Rennes","48.0982341851","-1.6551367535","","","","","","1"
"1440","1440","Le Blosne","Rennes","48.0876472722","-1.6539226424","","","","","","1"
"1441","1441","Triangle","Rennes","48.0860798955","-1.6608554487","","","","","","1"
"1442","1442","Binquenais","Rennes","48.0916391042","-1.6673295134","","","","","","1"
"1443","1443","Binquenais Collège","Rennes","48.0916238410","-1.6624482634","","","","","","1"
"1444","1444","Combes","Rennes","48.0936219526","-1.6696395669","","","","","","1"
"1445","1445","Clemenceau","Rennes","48.0931468196","-1.6746675639","","","","","","1"
"1446","1446","Argonautes","Rennes","48.0895831559","-1.6749971537","","","","","","1"
"1447","1447","Henri Fréville","Rennes","48.0872096006","-1.6750745278","","","","","","1"
"1449","1449","Norvège","Rennes","48.0868647463","-1.6830788038","","","","","","1"
"1450","1450","Coubertin","Rennes","48.0866903134","-1.6884528400","","","","","","1"
"1451","1451","Lycée Bréquigny","Rennes","48.0868571443","-1.6912617145","","","","","","1"
"1452","1452","Bréquigny Piscine","Rennes","48.0898514439","-1.6909866642","","","","","","1"
"1453","1453","Pigeon Blanc","Saint-Jacques-de-la-Lande","48.0897679495","-1.6929847512","","","","","","1"
"1454","1454","Bréquigny Piscine","Rennes","48.0895808921","-1.6912410349","","","","","","2"
"1455","1455","Lycée Bréquigny","Rennes","48.0867022613","-1.6910433990","","","","","","1"
"1456","1456","Coubertin","Rennes","48.0865406849","-1.6874511716","","","","","","1"
"1457","1457","Norvège","Rennes","48.0867651472","-1.6838866324","","","","","","1"
"1459","1459","Henri Fréville","Rennes","48.0880904996","-1.6742689226","","","","","","1"
"1460","1460","Argonautes","Rennes","48.0913076269","-1.6741591341","","","","","","1"
"1461","1461","Clemenceau","Rennes","48.0936594293","-1.6737624656","","","","","","1"
